npi,last_or_org_name,first_name,entity_code,state,ruca,provider_type,medicare_participating,tot_hcpcs_codes,tot_beneficiaries,tot_services,tot_submitted_charge,tot_medicare_allowed,tot_medicare_payment,tot_medicare_standardized,bene_avg_age,bene_avg_risk_score,excluded_any,fraud_label
1265518567,Yasin,Nura,I,GA,1.0,Family Practice,Y,13,21,41.0,1108.01,636.24,608.23,643.61,67,0.8351,1,1
1275580748,Dicroce,Joseph,I,PA,1.0,Internal Medicine,Y,9,32,977.0,31053.0,19630.31,14805.38,15430.25,74,0.8148,1,1
1275760100,Hadi,Mohammed,I,NY,1.0,Pain Management,Y,44,270,3204.0,1287238.0,472006.55,376415.89,321865.5,70,1.4144,1,1
1285673012,Miranda,Eduardo,I,TX,1.0,Hematology-Oncology,Y,92,386,114488.0,4571681.25,2356490.72,1862190.5,1873696.29,74,1.9099,1,1
1326681024,Zhang,Xing,I,PA,1.0,Nurse Practitioner,Y,9,63,109.0,21045.75,11828.02,7065.18,6726.11,73,1.36,1,1
1336220276,Nelson,Scott,I,MS,4.0,Family Practice,Y,16,13,94.0,5045.0,2806.22,714.08,1040.92,64,0.9319,1,1
1366612731,Modern Laboratory Incorporated,,O,IL,1.0,Clinical Laboratory,Y,78,1437,126994.0,783075.35,279753.09,279753.09,279826.19,82,2.4775,1,1
1376538496,Rubin,Mark,I,AZ,1.0,Interventional Pain Management,Y,42,443,5761.0,1943232.0,630288.65,546250.39,547060.06,76,1.2735,1,1
1376723684,Florea,Robert,I,OH,1.0,Family Practice,Y,9,21,256.0,45365.0,22292.79,17155.1,18265.74,58,0.868,1,1
1386732337,Warren,Timothy,I,KS,1.0,Chiropractic,Y,1,31,339.0,20340.0,12822.98,9097.84,9538.61,76,1.0949,1,1
1396067682,Shah,Amit,I,NY,1.0,Vascular Surgery,Y,69,381,10809.0,14840109.39,4757339.07,3792133.47,3151897.66,74,4.6294,1,1
1396085015,Lund,Marion,I,MS,5.0,Podiatry,Y,22,31,102.0,31971.09,12055.91,6678.21,8064.85,72,2.5139,1,1
1407801103,Mackie,Eugene,I,TX,1.0,Otolaryngology,Y,32,52,1355.0,90455.0,41185.14,31082.43,28107.35,74,1.5534,1,1
1427128073,Thropay,John,I,CA,1.0,Radiation Oncology,Y,28,27,852.0,519698.0,189415.49,150060.62,129539.29,75,1.772,1,1
1437198074,Dean,Ronald,I,MT,10.0,Emergency Medicine,Y,17,22935,163171.0,3991703.0,2469120.75,2305318.47,2439561.42,77,1.6342,1,1
1457822942,Latham,Cassandra,I,AL,7.0,Nurse Practitioner,Y,6,62,66.0,20665.0,7883.32,6062.71,6254.14,76,1.8121,1,1
1477732659,Jayaswal,Gautam,I,MO,4.0,Emergency Medicine,Y,6,29,39.0,43450.0,4468.7,3261.6,3362.84,74,1.3595,1,1
1558407411,Aronowitz,Joel,I,CA,1.0,Plastic and Reconstructive Surgery,Y,71,103,846.0,523063.48,139262.66,106342.64,93269.01,77,2.8066,1,1
1578596235,Saggar,Sonny,I,MO,1.0,Internal Medicine,Y,57,306,796.0,259741.0,54793.75,36637.92,37156.38,70,1.5457,1,1
1578936076,Lindsey,Ian,I,WI,1.0,Certified Registered Nurse Anesthetist (CRNA),Y,15,17,21.0,21508.0,2923.29,2264.09,2333.75,72,0.973,1,1
1588671853,Hornedo Iii,Carlos,I,TX,1.0,Family Practice,Y,45,245,2495.0,354578.0,197889.97,142397.83,148946.55,75,1.3341,1,1
1609985852,Malave,Ernesto,I,TX,1.0,Family Practice,Y,15,206,650.0,125960.0,73650.57,50657.02,53137.39,68,0.9688,1,1
1619170701,Gray,Duriel,I,GA,2.0,Family Practice,Y,7,134,381.0,125170.0,47968.05,35690.62,36233.24,85,2.1239,1,1
1639117559,Frid,Leon,I,MN,1.0,Chiropractic,Y,2,31,117.0,9380.0,3889.61,2735.47,2905.05,63,0.8813,1,1
1639220064,Burack,Steven,I,FL,1.0,Physical Medicine and Rehabilitation,Y,34,100,351.0,64606.0,40998.23,31251.9,30541.83,77,1.2944,1,1
1649213463,Faraj,Daoud,I,MI,1.0,Family Practice,Y,23,106,727.0,101914.0,59641.45,39474.67,39884.25,66,1.2718,1,1
1649241613,Wilson,Latresia,I,FL,1.0,Emergency Medicine,Y,6,46,55.0,70856.2,8126.35,6114.33,6071.87,78,2.3751,1,1
1669429908,Bee,Lee,I,MO,1.0,Internal Medicine,Y,19,329,1021.0,110082.1,109186.78,87193.44,86622.3,79,2.5584,1,1
1699717363,Maes,Earl,I,MO,1.0,Diagnostic Radiology,Y,155,7005,11777.0,2443010.56,426118.51,327155.21,332168.0,76,2.0823,1,1
1699721829,Rudich,Perry,I,IL,1.0,Diagnostic Radiology,Y,13,46,151.0,90060.0,26304.02,20008.96,19028.0,73,1.3359,1,1
1699840884,Duvall,Stephen,I,FL,1.0,Physical Therapist in Private Practice,Y,9,121,7733.0,511172.0,197373.34,156124.55,159049.14,57,1.4542,1,1
1700426467,Brown,Kevin,I,CA,1.0,Chiropractic,Y,3,95,913.0,54650.0,33441.04,22605.27,21658.82,71,1.1508,1,1
1710083977,Sapp,Joseph,I,PA,1.0,Nurse Practitioner,Y,22,54,322.0,48270.0,23709.62,18452.57,19255.39,69,1.5059,1,1
1710190590,Sawicki,Soraya,I,CT,1.0,Licensed Clinical Social Worker,Y,2,12,154.0,22460.0,17676.44,13486.23,12874.82,62,0.8015,1,1
1710381082,Faulkner,Brandon,I,AR,1.0,Nurse Practitioner,Y,12,39,98.0,22438.67,6887.41,4876.55,5391.94,59,1.5943,1,1
1720031503,Berinhout,Randall,I,GA,1.0,Pain Management,Y,44,299,1839.0,1319591.06,159634.81,131966.83,138974.7,67,1.6201,1,1
1720135726,Rostami,Mike,I,CA,1.0,General Practice,Y,88,214,11449.0,1256515.0,646409.18,496606.28,497342.68,74,1.5718,1,1
1720533755,Garcia,Carlo,I,NY,1.0,Occupational Therapist in Private Practice,Y,6,11,609.0,27720.0,18395.14,14476.0,12841.72,70,1.3222,1,1
1740440155,Yiu,John,I,NY,1.0,Family Practice,Y,14,61,145.0,19582.7,13752.95,8260.47,6945.97,79,2.2395,1,1
1750462008,Jacobsen,Daniel,I,VA,1.0,Licensed Clinical Social Worker,Y,3,33,388.0,44610.0,29991.93,21457.3,21599.31,55,1.3002,1,1
1760425458,Brutus,Andre,I,NY,1.0,Internal Medicine,Y,4,32,84.0,17282.72,6773.41,4593.85,3936.96,63,1.8266,1,1
1760723092,Mcdonald,Anneleisa,I,NV,1.0,Nurse Practitioner,Y,38,88,6291.0,984086.0,786154.49,620438.5,623240.23,70,2.4558,1,1
1760895122,Parcon,Kristine May,I,NY,1.0,Physical Therapist in Private Practice,Y,10,34,885.0,125356.64,26537.7,20814.42,18490.53,72,1.0592,1,1
1770702698,Kao,Wayne,I,CA,1.0,"Psychologist, Clinical",Y,5,252,2921.0,261190.0,143362.99,111571.42,105857.45,75,3.0211,1,1
1780674218,Zaki,Gamal,I,MI,1.0,Internal Medicine,Y,48,224,1268.0,216703.0,117633.27,89382.97,87415.84,77,1.1805,1,1
1790795383,Ubaldo,Hector,I,TX,1.0,Internal Medicine,Y,110,199,5526.0,361840.99,219682.75,165971.21,159796.34,73,1.0899,1,1
1811989650,Hagen,Joseph,I,MI,1.0,Internal Medicine,Y,11,31,264.0,68820.0,29836.45,22738.16,22296.04,69,1.0489,1,1
1851301204,Young,David,I,TX,4.0,Emergency Medicine,Y,26,790,1487.0,1506908.0,144382.87,112859.19,116126.17,77,1.3644,1,1
1851339576,Welch,Charles,I,MO,7.0,Certified Registered Nurse Anesthetist (CRNA),Y,51,154,213.0,158240.0,36152.63,28351.77,29194.4,72,1.1382,1,1
1851353866,Wahib,Samir,I,IN,7.1,Obstetrics & Gynecology,Y,9,15,36.0,12743.0,3824.4,3015.61,4091.36,66,0.8829,1,1
1861815011,Salamack,Anja,I,NY,1.0,Nurse Practitioner,Y,5,41,594.0,74045.0,45198.63,31964.48,36890.53,56,1.0618,1,1
1881872828,Sokalsky,Brian,I,NJ,1.0,Sports Medicine,Y,13,67,8956.0,92720.0,30009.77,18782.94,17893.68,75,0.8278,1,1
1891185948,Watson,Melissa,I,LA,1.0,Nurse Practitioner,Y,13,68,938.0,43388.0,25036.66,16968.88,18331.69,62,1.0837,1,1
1891964904,Vo,Tien,I,CA,1.0,Internal Medicine,Y,228,1666,29366.0,1613883.11,914342.38,758224.74,767297.47,72,1.7267,1,1
1902856065,Randall,Wendell,I,NC,4.0,Pathology,Y,5,36,487.0,91464.0,59845.09,51434.78,52297.15,59,2.5001,1,1
1902935208,Duarte,Ren,I,IL,1.0,"Psychologist, Clinical",Y,5,313,1452.0,305400.0,110594.97,87518.94,84923.27,80,2.9898,1,1
1922246594,Lewis,Matthew,I,KY,1.0,Family Practice,Y,59,334,7176.0,371433.0,182230.45,146086.28,151262.6,73,1.1179,1,1
1932241007,Ebonka,Festus,I,NV,1.0,Nurse Practitioner,Y,18,148,1164.0,168932.7,103791.81,80690.04,82451.5,62,1.829,1,1
1942208715,Malik,Mohd,I,MO,1.0,Psychiatry,Y,14,227,698.0,119567.39,68852.75,52683.46,54612.96,55,1.4723,1,1
1942375837,Baul,Terry,I,MI,1.0,Family Practice,Y,24,135,550.0,54153.5,38217.23,28513.23,28685.71,70,1.7138,1,1
1942641485,Spicer,Jared,I,AZ,1.0,Podiatry,Y,20,111,200.0,43372.0,15627.59,5983.51,7487.52,73,1.7898,1,1
1952364374,Kardon,Evan,I,NC,1.0,Internal Medicine,Y,1,11,11.0,1100.0,380.87,164.28,369.04,75,2.2477,1,1
1952370173,Stephan,William,I,NY,1.0,Family Practice,Y,35,161,618.0,92861.44,37431.85,26598.73,28066.61,71,0.9412,1,1
1972685758,Cubano,Cesar,I,PR,1.0,Psychiatry,Y,3,16,19.0,1477.78,1473.02,233.92,281.13,65,1.021,1,1
1972919561,Landron,Marjorie,I,FL,1.0,Licensed Clinical Social Worker,Y,3,25,150.0,21928.03,15670.65,10020.21,10001.15,75,1.6384,1,1
1992031694,Baldovino,Mitzy Girlie,I,NY,1.0,Physical Therapist in Private Practice,Y,6,24,1364.0,64782.0,35924.44,27837.81,24837.03,72,0.8838,1,1
1992988257,Mohamed,Amr,I,KY,1.0,Nephrology,Y,15,63,190.0,44696.0,22608.08,17781.94,18150.18,65,6.8901,1,1
1003000126,Enkeshafi,Ardalan,I,MD,1.0,Hospitalist,Y,11,344,814.0,173087.77,78590.79,62198.36,56080.64,78,2.7545,0,0
1003000134,Cibull,Thomas,I,IL,1.0,Pathology,Y,19,2093,4839.0,726858.0,171256.75,127984.95,122195.53,76,1.1423,0,0
1003000142,Khalil,Rashid,I,OH,1.0,Anesthesiology,Y,46,325,1455.0,451425.0,155879.22,118122.12,119617.08,69,1.6448,0,0
1003000423,Velotta,Jennifer,I,OH,1.0,Obstetrics & Gynecology,Y,16,63,119.0,13785.0,6388.39,5230.52,5501.02,70,0.737,0,0
1003000480,Rothchild,Kevin,I,CO,1.0,General Surgery,Y,23,99,124.0,98271.0,20288.98,15794.97,15586.25,69,1.7264,0,0
1003000530,Semonche,Amanda,I,PA,1.0,Internal Medicine,Y,29,377,1377.0,252256.0,162515.1,125995.81,118352.4,73,1.1632,0,0
1003000597,Kim,Dae,I,OK,1.0,Urology,Y,96,809,2628.0,803277.0,277554.6,212068.54,222427.19,72,1.5121,0,0
1003000639,Benharash,Peyman,I,CA,1.0,Cardiac Surgery,Y,44,99,189.0,773206.0,117447.63,93661.84,85638.5,73,1.7875,0,0
1003000704,Gatton,Zachary,I,OH,4.0,Anesthesiology,Y,28,86,89.0,71532.0,16526.07,13043.58,12886.0,72,1.6675,0,0
1003000720,Hernandez,Otniel,I,FL,1.0,Nurse Practitioner,Y,35,123,367.0,40793.5,15070.8,11763.28,11395.03,72,1.1188,0,0
1003000738,Zumwalt,Juliette,I,TX,1.0,Physician Assistant,Y,25,90,351.0,64148.0,14756.93,11085.24,10439.12,74,0.8144,0,0
1003000795,O'neill,Michael,I,MN,1.0,Licensed Clinical Social Worker,Y,4,16,247.0,26630.0,15153.59,11541.4,12907.01,53,1.3107,0,0
1003000829,Kochanek,Michelle,I,CO,1.0,Physical Therapist in Private Practice,Y,10,81,2247.0,89512.42,65607.76,50297.22,49261.42,77,1.0621,0,0
1003000902,Lohano,Jaivanti,I,KY,1.0,Family Practice,Y,27,246,797.0,152623.5,75641.75,57222.97,59728.3,71,1.0229,0,0
1003000936,Stellingworth,Mark,I,SC,5.0,Cardiology,Y,66,970,3065.0,497065.69,221333.26,166475.66,174977.67,75,1.4053,0,0
1003001041,Miller,Kathleen,I,PA,1.0,Certified Registered Nurse Anesthetist (CRNA),Y,12,16,19.0,57588.0,1867.37,1487.84,1512.47,79,1.5136,0,0
1003001140,Nicastro,Jon,I,NV,1.0,Physical Therapist in Private Practice,Y,14,179,3527.0,243089.0,86559.12,65549.78,65729.91,72,1.0775,0,0
1003001249,Day,Ronnie,I,IL,1.0,Physical Therapist in Private Practice,Y,6,90,2209.0,168885.0,57118.69,45007.29,47064.83,76,1.3785,0,0
1003001256,Caragol,Jennifer,I,CO,1.0,Family Practice,Y,14,58,102.0,38705.0,7974.01,5839.74,7842.72,69,1.9432,0,0
1003001298,Warren,Kasey,I,TX,4.0,Optometry,Y,12,59,66.0,9238.54,6701.65,4288.84,5335.57,74,0.9991,0,0
1003001322,Nodaway County Health Center,,O,MO,4.0,Mass Immunizer Roster Biller,Y,5,196,510.0,35055.0,31168.53,31168.53,29778.63,76,0.8963,0,0
1003001363,Stevens,Charles,I,CA,1.0,Pain Management,Y,50,846,11763.0,1665228.3,614974.62,462027.86,470630.12,71,1.6271,0,0
1003001371,Kanter,David,I,NY,1.0,Physical Medicine and Rehabilitation,Y,21,130,16377.0,289515.0,142100.1,111029.02,113302.66,46,1.6565,0,0
1003001462,Wolski,Michal,I,TX,1.0,Radiation Oncology,Y,32,187,2055.0,710112.81,190559.06,150287.06,156190.65,74,1.7048,0,0
1003001538,Midwest Internal Medicine Associates Llc,,O,OH,4.0,Clinic or Group Practice,Y,8,17,42.0,2829.0,2552.65,2552.65,2425.49,74,0.9265,0,0
1003001595,Hillyer-Wright,Nereida,I,MD,1.0,Speech Language Pathologist,Y,8,24,754.0,70305.48,66048.19,51823.53,46126.58,86,1.5633,0,0
1003001645,Trivedi,Vinod,I,CA,1.0,Infectious Disease,Y,13,331,782.0,304638.0,108050.93,83525.41,81472.77,72,2.9542,0,0
1003001678,Eirich,Rebecca,I,NJ,1.0,Nurse Practitioner,Y,13,114,181.0,20836.0,8600.36,7776.72,7312.44,70,0.7718,0,0
1003001785,Jones,Jaclyn,I,OK,1.0,Orthopedic Surgery,Y,89,291,2880.0,435323.5,177929.97,136114.57,147128.25,73,1.6097,0,0
1003001918,Goad,Karen,I,TX,2.0,Physical Therapist in Private Practice,Y,4,21,113.0,6466.35,2606.31,2000.21,2047.57,75,1.638,0,0
1003001975,Christianson,Shannon,I,CA,1.0,Physical Therapist in Private Practice,Y,10,24,425.0,17994.0,11422.51,9100.82,9678.86,75,0.8642,0,0
1003001983,Saddhra,Rorie,I,VA,1.0,Physical Therapist in Private Practice,Y,8,24,4094.0,171330.22,113410.04,89393.5,91124.97,74,1.0192,0,0
1003002049,Srinivasan,Lakshmi,I,CA,1.0,Endocrinology,Y,12,118,387.0,142170.0,53287.25,39046.34,31460.8,73,1.2269,0,0
1003002072,Gotesman,Alexander,I,NJ,1.0,Urology,Y,31,87,334.0,85258.38,21640.15,17653.54,16927.82,73,2.2401,0,0
1003002098,Devens,Christopher,I,OH,1.0,Chiropractic,Y,2,14,114.0,6495.0,3847.57,2559.18,2871.88,71,0.7073,0,0
1003002106,Castro Cordoba,Juan Luis,I,FL,1.0,Psychiatry,Y,10,142,358.0,105470.0,45899.77,36328.86,36939.28,66,1.3384,0,0
1003002148,Owens,Justin,I,LA,1.0,Diagnostic Radiology,Y,197,2053,3015.0,136404.0,109357.22,84939.49,86705.35,73,1.9299,0,0
1003002205,Magcalas,Charity,I,TX,1.0,Certified Registered Nurse Anesthetist (CRNA),Y,8,39,700.0,27075.18,1887.09,1496.76,1530.72,75,1.0297,0,0
1003002254,Walgreen Co,,O,TN,1.0,Centralized Flu,Y,12,454,2449.0,59035.75,55849.79,55849.79,54586.53,72,1.2601,0,0
1003002312,Hopkins,Patricia,I,MA,1.0,Rheumatology,Y,49,279,99007.0,3504510.0,1283588.14,1010862.07,990828.14,75,1.2609,0,0
1003002379,Shrestha,Salona,I,OR,1.0,Internal Medicine,Y,8,115,345.0,128795.0,39284.39,30874.14,29723.43,73,2.7139,0,0
1003002486,Minner,Megan,I,MO,4.0,Chiropractic,Y,1,14,150.0,7500.0,5580.5,3595.52,3877.19,72,1.0891,0,0
1003002627,Kadiyala,Samatha,I,TX,1.0,Obstetrics & Gynecology,Y,72,228,2546.0,440912.45,158350.47,122578.92,124100.17,72,0.9453,0,0
1003002643,Bradt,Carie,I,NY,1.0,Physician Assistant,Y,5,44,281.0,37004.04,8999.04,6260.05,6510.43,73,1.2303,0,0
1003002726,Diamond,Robert,I,NY,1.0,Licensed Clinical Social Worker,Y,5,22,309.0,34925.76,23242.2,18525.29,16891.73,66,1.1421,0,0
1003002742,Lockman,Brett,I,CA,4.0,Physical Medicine and Rehabilitation,Y,59,125,1867.0,458484.18,118367.23,91167.76,86963.29,75,1.084,0,0
1003002783,Hartman,Matthew,I,PA,1.0,Diagnostic Radiology,Y,69,1014,4729.0,273250.28,86365.82,67409.33,68044.85,72,2.111,0,0
1003002809,Graziano,Vincent,I,NY,1.0,Diagnostic Radiology,Y,49,1194,3426.0,5460080.86,357380.49,274011.01,241930.56,72,0.9633,0,0
1003002841,Choudhary,Saher,I,SC,1.0,Neurology,Y,17,208,303.0,84517.0,41431.33,32769.98,34271.42,74,1.5898,0,0
1003002890,Hamman,Daniel,I,CO,2.0,Orthopedic Surgery,Y,43,204,1062.0,240393.5,97132.49,73270.21,73085.69,72,1.0375,0,0
1003002932,Galuska,Michael,I,CA,1.1,Emergency Medicine,Y,10,102,111.0,30058.0,14731.21,10997.73,10991.35,71,2.3158,0,0
1003003021,Swinehart,Joseph,I,MI,3.0,Physical Therapist in Private Practice,Y,9,20,774.0,31222.0,16264.05,11984.27,12465.62,71,1.4329,0,0
1003003070,Gill,Anita,I,NJ,1.0,Neurology,Y,12,256,776.0,257120.0,83847.66,66444.65,61244.51,77,1.9774,0,0
1003003088,Vora-Shah,Avani,I,NJ,1.0,Physical Therapist in Private Practice,Y,6,69,2274.0,129235.0,62951.17,47527.81,43069.96,76,0.8815,0,0
1003003153,Morrison,Laura,I,WA,1.0,Dermatology,Y,56,264,1933.0,279997.12,100402.17,68074.24,68129.53,76,1.1127,0,0
1003003161,Pinkerton,Kenneth,I,CA,1.0,Physical Therapist in Private Practice,Y,11,178,13323.0,755322.0,384880.81,301858.26,275243.49,76,0.9892,0,0
1003003609,Pakkivenkata,Uma,I,TX,1.0,Nephrology,Y,24,341,1718.0,441391.23,237893.87,184515.39,183731.83,72,3.5658,0,0
1003003856,Santiago,Cynthia,I,NY,1.0,Family Practice,Y,47,283,3153.0,262089.93,219117.3,181931.45,155661.53,74,1.0317,0,0
1003003963,Farahani,Cyrus,I,TX,2.0,Emergency Medicine,Y,15,175,334.0,272572.3,32979.32,26514.63,26931.03,75,1.3262,0,0
1003004151,Pletin,Tanya,I,TX,1.0,Physician Assistant,Y,9,42,72.0,50162.0,9552.55,7610.88,7639.29,69,1.9721,0,0
1003004185,Morgan,Kathleen,I,NH,1.0,Physician Assistant,Y,9,22,45.0,2410.4,2185.36,2143.94,2087.95,77,1.0837,0,0
1003004201,Philbrick,Natalie,I,TX,1.0,Internal Medicine,Y,28,167,457.0,74712.25,48225.21,32186.15,33632.93,73,0.893,0,0
1003004540,Cabanellas,Jennine,I,FL,1.0,Ophthalmology,Y,22,860,1717.0,316990.0,175307.22,133146.94,131599.56,78,1.3202,0,0
1003004771,Riggle,Erin,I,CO,1.0,Critical Care (Intensivists),Y,30,399,1618.0,371851.8,166521.81,128435.91,127228.08,76,2.0433,0,0
1003004904,Texas Road Old Bridge Llc,,O,NJ,1.0,Pharmacy,Y,8,67,135.0,8488.78,7817.48,7817.48,8436.75,78,1.6162,0,0
1003004938,"Cvs State Capital, L.L.C.",,O,ME,1.0,Mass Immunizer Roster Biller,Y,13,488,2972.0,95792.49,87959.74,87959.74,86336.93,72,0.9368,0,0
1003005018,Coulson,Andrew,I,MN,1.0,Chiropractic,Y,1,22,201.0,14070.0,7929.91,5894.12,5884.67,74,1.1904,0,0
1003005059,Torrington Area Health District,,O,CT,4.0,Mass Immunizer Roster Biller,Y,3,76,152.0,8294.91,7782.84,7782.84,6854.98,80,0.9664,0,0
1003005257,Pace,Stanley,I,OH,1.0,Pathology,Y,18,261,728.0,117217.0,25064.95,18876.93,19461.06,73,1.2159,0,0
1003005372,Padro-Guzman,Jesuel,I,NY,1.0,Physical Medicine and Rehabilitation,Y,19,266,475.0,276760.0,52269.4,40624.43,35241.96,71,2.44,0,0
1003005430,Beaumont,Laura,I,IL,1.0,"Psychologist, Clinical",Y,4,31,340.0,52790.0,35962.46,26921.86,26047.23,75,1.1049,0,0
1003005729,Walnoha,Wade,I,OH,1.0,Physician Assistant,Y,17,171,179.0,159955.0,23801.61,18944.42,19610.31,71,1.7872,0,0
1003005836,Leasure,Emily,I,MN,1.0,Internal Medicine,Y,42,292,645.0,175664.01,75477.94,58787.35,58221.64,74,1.3092,0,0
1003006107,Al-Saab,Saad,I,TX,1.0,Cardiology,Y,40,127,462.0,106502.4,50419.92,39392.62,38373.6,77,2.0234,0,0
1003006115,Durham,Benjamin,I,GA,4.0,Physician Assistant,Y,76,525,5430.0,1284237.68,158410.08,112075.71,125264.45,75,1.0031,0,0
1003006149,Gamboa,Stephen,I,NC,1.0,Family Practice,Y,28,390,595.0,140393.0,66396.66,51532.86,53628.37,77,1.3993,0,0
1003006172,Quezada,Nestor,I,FL,1.0,Infectious Disease,Y,14,43,212.0,41596.0,12630.49,9528.08,9709.72,71,3.1165,0,0
1003006180,"Medicwest Ambulance, Inc.",,O,NV,1.0,Ambulance Service Provider,Y,7,3116,39362.2,6888037.36,2571987.87,2017407.54,1964976.3,70,2.6205,0,0
1003006198,Cinski,Laura,I,VA,1.0,Neurology,Y,7,137,242.0,80729.47,28631.94,22359.38,19898.46,71,0.9983,0,0
1003006396,Rush,Michelle,I,TN,1.0,Nurse Practitioner,Y,6,55,74.0,13550.91,5261.38,2990.41,3245.91,65,2.5955,0,0
1003006503,Jegede,Olugbemiga,I,NC,1.0,Internal Medicine,Y,7,23,79.0,16720.0,6793.42,4827.66,5019.36,39,5.0731,0,0
1003006552,Quinonez,Alner,I,FL,2.0,Family Practice,Y,26,162,879.0,121768.0,87057.54,58659.79,60048.64,71,1.5027,0,0
1003006586,Mareedu,Jyotsna,I,MD,1.0,Internal Medicine,Y,5,15,37.0,8373.0,4193.46,3238.49,2913.05,71,3.7719,0,0
1003006602,Nasajpour,Hossein,I,MS,4.0,Plastic and Reconstructive Surgery,Y,110,256,2320.0,611971.0,250292.88,196076.77,212431.79,74,0.9842,0,0
1003006610,Rule,Cindi,I,IA,7.0,Nurse Practitioner,Y,49,99,538.0,58972.74,36712.5,27357.16,28380.58,74,0.7809,0,0
1003006636,Hasan,Saba,I,VA,1.0,Diagnostic Radiology,Y,31,1942,4022.0,386120.0,129140.26,119434.32,122067.64,73,0.8278,0,0
1003006651,Homan,Zena,I,ND,1.0,Obstetrics & Gynecology,Y,19,39,64.0,16549.0,6621.49,4585.96,4811.01,68,1.0676,0,0
1003006727,Gambacorta,Katherine,I,NY,1.0,Anesthesiology,Y,31,60,72.0,126455.0,14501.98,11554.43,11639.07,69,1.6305,0,0
